SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
226.914,196.949,93.9302,196.078,285.637,199,211.157,49.9079,198.059,67.4969,23.0786,171.669,110.282,63.9923,146.233,125.87,176.991,64.8871,46.6748,42.0005,23.3747,100.385,88.6989,41.2615,281.258,159.243,
226.811,196.948,93.9036,196.08,285.449,199,211.04,49.8983,198.105,67.5619,23.0514,171.667,110.295,63.9889,146.179,125.875,177.097,64.8941,46.6143,42.0093,23.738,100.472,89.0572,41.3467,281.226,158.882,
226.769,196.948,93.9327,196.077,285.256,199,211.088,49.9014,198.071,67.5151,23.0608,171.667,110.308,63.9853,146.121,125.882,177.084,64.8931,46.5869,42.0148,24.0995,100.558,89.4229,41.4347,281.196,158.511,
226.772,196.948,93.92,196.078,285.057,199,211.167,49.907,198.029,67.4595,23.0789,171.668,110.322,63.9816,145.994,125.898,177.087,64.8934,46.6468,42.0011,24.4592,100.646,89.7735,41.5211,281.168,158.146,
226.819,196.947,94.011,196.071,284.865,198.999,211.122,49.9022,197.946,67.359,23.082,171.668,110.334,63.978,145.935,125.905,177.152,64.901,46.6502,42.0003,24.8231,100.736,90.1289,41.611,281.142,157.775,
226.748,196.95,93.9383,196.077,284.672,198.997,211.244,49.9191,197.988,67.4094,23.0117,171.666,110.346,63.9745,145.923,125.907,177.079,64.8931,46.5977,42.0107,25.1878,100.826,90.4885,41.7024,281.116,157.401,
226.765,196.948,93.9267,196.078,284.642,198.998,211.222,49.9157,197.953,67.3658,22.9546,171.662,110.359,63.9708,145.877,125.913,176.894,64.8757,46.5418,42.0192,25.5501,100.917,90.8552,41.7959,281.091,157.023,
226.769,196.948,93.9193,196.078,284.675,198.996,211.138,49.8998,197.946,67.3566,22.9159,171.66,110.37,63.9673,145.787,125.922,176.794,64.8652,46.4397,42.0325,25.9101,101.007,91.2051,41.8859,281.07,156.661,
226.744,196.95,93.938,196.078,284.663,198.997,211.079,49.8897,197.967,67.3835,22.7969,171.655,110.383,63.9633,145.773,125.923,176.769,64.8629,46.4872,42.0257,26.2736,101.098,91.572,41.981,281.049,156.297,
226.715,196.95,94.0161,196.076,284.562,199.003,211.068,49.8873,197.932,67.3355,22.7237,171.652,110.395,63.9594,145.686,125.927,176.653,64.8559,46.4315,42.0343,26.6269,101.186,91.929,42.0742,281.029,155.923,
226.746,196.949,93.9695,196.076,284.638,198.998,211.042,49.8816,197.834,67.1985,22.7116,171.652,110.407,63.9555,145.642,125.929,176.673,64.8577,46.5527,42.0158,26.9906,101.278,92.2795,42.1671,281.011,155.548,
226.706,196.951,93.9241,196.075,284.67,198.996,210.969,49.8674,197.887,67.2742,22.7306,171.652,110.419,63.9516,145.462,125.937,176.795,64.8709,46.5433,42.0172,27.3546,101.37,92.6307,42.2625,280.995,155.185,
226.62,196.958,93.8991,196.076,284.674,198.995,210.925,49.8607,197.863,67.2371,22.8251,171.658,110.431,63.9474,145.542,125.933,176.797,64.8712,46.4115,42.0331,27.7122,101.46,92.9827,42.3589,280.981,154.814,
226.608,196.959,93.8124,196.082,284.616,198.998,210.912,49.8587,197.872,67.2535,22.8718,171.661,110.442,63.9436,145.529,125.934,176.699,64.8648,46.3848,42.0365,28.0757,101.553,93.3428,42.4587,280.966,154.529,
226.417,196.985,93.9074,196.077,284.618,198.998,210.89,49.8541,197.873,67.2543,22.7453,171.651,110.454,63.9394,145.513,125.934,176.702,64.8648,46.4464,42.0263,28.4387,101.643,93.6968,42.5587,280.94,154.244,
226.26,197.007,93.8963,196.077,284.441,198.995,210.793,49.8297,197.866,67.2437,22.7501,171.652,110.465,63.9354,145.382,125.936,176.588,64.8652,46.3732,42.0396,28.8061,101.735,94.0481,42.6605,280.897,153.868,
226.174,197.019,93.9264,196.075,284.576,198.997,210.739,49.8169,197.874,67.257,22.7386,171.65,110.475,63.9313,145.269,125.94,176.485,64.8625,46.3014,42.051,29.1647,101.825,94.4089,42.7672,280.857,153.498,
226.177,197.018,93.8068,196.088,284.582,198.998,210.669,49.8003,197.868,67.2464,22.6852,171.64,110.486,63.9271,145.257,125.94,176.546,64.8655,46.2033,42.0653,29.5309,101.919,94.7619,42.8732,280.819,153.14,
226.136,197.024,93.7778,196.091,284.66,199.002,210.5,49.7569,197.922,67.3377,22.7474,171.65,110.496,63.9234,145.29,125.938,176.506,64.8637,46.2209,42.0623,29.8963,102.012,95.1093,42.9792,280.782,152.772,
