mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller --------------------,,,,,
-----------------------Scenario 1--------------------,,,,,
-----------------------Noise Scenario 2--------------------,,,,,
3,0.8,3,1890573367418.53,0.933333,0.633333
3,0.8,3,1463960796072.12,1,0.9
3,0.8,3,2082717759184.12,1,0.233333
3,0.8,3,1117255870594.08,0.966667,0.6
3,0.8,3,977824292810.118,0.933333,0.9
3,0.8,3,1651993375672.02,0.966667,0.1
3,0.8,3,1397249044767.24,0.966667,0.833333
3,0.8,3,4246764899621.9,0.9,0.0333333
3,0.8,3,908112083911.066,1,0.866667
3,1,3,4744894243775.71,0.766667,0
3,1,3,3949783535899.62,0.866667,0
3,1,3,4072786177740.96,0.866667,0.733333
3,1,3,4784638143621.34,0.433333,0
3,1,3,6311626838139.57,0.433333,0
3,1,3,4973956260252.97,0.633333,0
3,1,3,5298189073988.7,0.666667,0.1
3,1,3,5217666385369.37,0.933333,0.0333333
3,1,3,6795126468579.3,0.633333,0.0333333
3,1,3,3156432037640.13,0.933333,0.0333333
3,1,3,4354705157053.69,0.933333,0.0333333
3,1,3,4310610730059.34,0.933333,0.1
3,1,3,4363307733758.96,0.466667,0.0333333
3,1,3,3682099823896.19,0.866667,0
3,1,3,4766475274087.1,0.9,0
3,1,3,4549473816827.5,0.8,0.0333333
3,1,3,6150049578195.47,0.7,0
3,1,3,5651043597410.87,0.333333,0
3,1,3,5624986182780.72,0.4,0.0333333
3,1,3,6597796547812.56,0.8,0.0333333
3,1,3,2302730528975.75,0.966667,0
3,1,3,3771621778498.95,0.833333,0.7
3,1,3,4754689427770.07,0.6,0.366667
3,1,3,3490972342608.09,0.9,0.0333333
3,1,3,2417170966966.38,0.9,0.0666667
-----------------------Noise Scenario 4--------------------,,,,,
3,0,4,648312708802.11,0.966667,0.566667
3,0,4,567896569984.162,1,0.866667
3,0,4,731040697620.232,0.966667,0.933333
3,0,4,640863778798.771,1,0.766667
3,0,4,470518772828.258,1,0.833333
3,0,4,429307323049.304,1,0.866667
3,0,4,457456095137.701,0.966667,0.833333
3,0,4,527634479272.185,0.966667,0.833333
3,0,4,553646505047.798,0.966667,0.833333
3,0,4,583705692804.637,0.966667,0.866667
3,0,4,706939030762.307,1,0.933333
3,0,4,403742644736.24,1,0.833333
3,0,4,673678254772.006,0.966667,0.733333
3,0,4,357766764096.329,0.966667,0.9
3,0,4,582168994647.208,1,0.933333
3,0,4,501733294935.592,1,0.933333
3,0,4,630118701376.041,0.966667,0.866667
3,0,4,866389479314.671,1,0.666667
3,0,4,496598346551.396,1,0.833333
3,0,4,669795200372.624,1,0.866667
3,0,4,834777658802.102,0.966667,0.933333
3,0,4,492805435575.314,1,0.866667
3,0,4,500124374776.553,1,0.833333
3,0,4,636680570824.325,1,0.833333
3,0,4,843217870681.839,1,0.933333
3,0.2,4,1890048700712.67,0.9,0.733333
3,0.2,4,2306623675562.1,0.833333,0.7
3,0.2,4,1483561519260.85,0.833333,0.766667
3,0.2,4,2067850223399,0.866667,0.766667
3,0.2,4,2004603306367.66,0.866667,0.733333
3,0.2,4,2056025330213.4,0.833333,0.733333
3,0.2,4,1726888578519.56,0.866667,0.733333
3,0.2,4,1542452645087.41,0.9,0.6
3,0.2,4,1894193940172.16,0.9,0.7
3,0.2,4,2352528709655.92,0.9,0.766667
3,0.2,4,2029635842550.53,0.9,0.8
3,0.2,4,1937791621798.93,0.866667,0.766667
3,0.2,4,2083641503660.59,0.9,0.7
3,0.2,4,2518078809630.75,0.866667,0.366667
3,0.2,4,2143328716280.72,0.866667,0.733333
3,0.2,4,1866022586445.12,0.866667,0.733333
3,0.2,4,1431811770282.54,0.866667,0.733333
3,0.2,4,1385709266802.19,0.866667,0.733333
3,0.2,4,1883508951239.17,0.9,0.766667
3,0.2,4,2182630783018.86,0.866667,0.733333
3,0.2,4,1545998095191.21,0.9,0.6
