SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
53.6439,150.991,165.719,17.0815,173.016,22.0983,211.344,61.6591,66.8256,80.5128,62.6722,86.5936,197.887,101.225,100.941,137.592,12.366,108.897,250.667,24.5743,177.224,195.36,48.6288,102.753,69.0758,145.283,69.8004,73.7371,121.766,195.523,
53.5517,151.098,165.814,17.2447,173.153,22.239,211.293,61.6909,66.8216,80.6509,62.5594,86.6604,197.828,101.229,100.905,137.585,12.5299,108.989,250.716,24.7552,176.925,195.587,48.5773,103.089,69.1945,145.61,69.5306,73.7645,121.897,195.884,
53.4541,151.206,165.91,17.412,173.29,22.3788,211.241,61.7236,66.829,80.8002,62.448,86.7262,197.769,101.234,100.867,137.577,12.6947,109.082,250.768,24.9445,176.622,195.816,48.5311,103.426,69.3117,145.919,69.243,73.8051,122.026,196.238,
53.3552,151.311,166.005,17.5775,173.422,22.5124,211.19,61.7549,66.8395,80.9467,62.3373,86.787,197.708,101.238,100.83,137.57,12.8612,109.177,250.817,25.1264,176.323,196.044,48.492,103.75,69.4401,146.243,68.9599,73.857,122.157,196.599,
53.2556,151.413,166.101,17.7434,173.556,22.6484,211.14,61.786,66.8555,81.0999,62.2252,86.8444,197.648,101.243,100.794,137.562,13.0298,109.274,250.867,25.3117,176.018,196.278,48.4559,104.09,69.5731,146.565,68.6692,73.9256,122.285,196.953,
53.1565,151.509,166.195,17.9072,173.69,22.7854,211.089,61.8178,66.8781,81.2016,62.1197,86.8891,197.588,101.247,100.759,137.555,13.1992,109.37,250.884,25.3718,175.718,196.508,48.4257,104.417,69.7213,146.917,68.5174,73.9851,122.412,197.307,
53.0524,151.607,166.29,18.0732,173.825,22.9235,211.037,61.8502,66.8968,81.3147,62.0168,86.9272,197.53,101.252,100.723,137.548,13.3672,109.466,250.9,25.4288,175.422,196.735,48.4003,104.752,69.8697,147.272,68.3568,74.037,122.541,197.663,
52.944,151.705,166.388,18.2439,173.956,23.0584,210.986,61.8819,66.9106,81.4346,61.9137,86.9627,197.47,101.256,100.685,137.541,13.5297,109.558,250.915,25.4859,175.119,196.967,48.3804,105.095,70.0141,147.617,68.0339,74.1204,122.669,198.02,
52.839,151.796,166.487,18.4166,174.088,23.1945,210.934,61.9144,66.9223,81.5673,61.8114,86.9956,197.408,101.261,100.648,137.533,13.6988,109.653,250.932,25.5459,174.818,197.197,48.3658,105.265,70.158,147.964,67.7126,74.2096,122.797,198.373,
52.7283,151.889,166.58,18.5795,174.222,23.3321,210.882,61.9466,66.9323,81.6954,61.7089,87.026,197.347,101.265,100.611,137.526,13.8691,109.749,250.948,25.6053,174.514,197.428,48.3361,105.434,70.3028,148.315,67.4004,74.3102,122.929,198.733,
52.6143,151.98,166.673,18.7431,174.356,23.4693,210.831,61.9781,66.9397,81.829,61.607,87.0537,197.286,101.27,100.574,137.519,14.0343,109.843,250.964,25.6625,174.213,197.657,48.2649,105.765,70.4469,148.666,67.0719,74.4234,123.057,199.083,
52.5034,152.065,166.768,18.9094,174.488,23.6037,210.779,62.0101,66.9443,81.962,61.5,87.0801,197.225,101.274,100.536,137.511,14.1972,109.935,250.98,25.7212,173.921,197.881,48.1993,106.106,70.59,149.015,66.7496,74.5394,123.188,199.439,
52.3928,152.147,166.862,19.0766,174.622,23.7391,210.728,62.0418,66.9464,82.1032,61.3947,87.1033,197.166,101.279,100.5,137.504,14.3637,110.029,250.996,25.7796,173.62,198.111,48.1388,106.448,70.7365,149.369,66.4399,74.6558,123.319,199.794,
52.2819,152.226,166.957,19.2439,174.755,23.8732,210.677,62.0735,66.9458,82.2455,61.2901,87.1235,197.108,101.283,100.462,137.497,14.53,110.122,251.012,25.8382,173.315,198.344,48.0839,106.787,70.8806,149.719,66.121,74.7817,123.45,200.149,
52.1711,152.302,167.051,19.4109,174.888,24.0072,210.624,62.1062,66.9423,82.3934,61.1884,87.1406,197.048,101.288,100.425,137.49,14.7014,110.219,251.028,25.896,173.018,198.57,48.033,107.133,71.0262,150.075,65.799,74.9141,123.584,200.509,
52.0597,152.376,167.145,19.5793,175.024,24.1436,210.571,62.1391,66.9363,82.5396,61.0864,87.1549,196.986,101.292,100.387,137.483,14.8683,110.313,251.044,25.9522,172.713,198.804,47.9884,107.469,71.1665,150.417,65.4929,75.0447,123.714,200.862,
51.9467,152.449,167.242,19.751,175.161,24.2824,210.52,62.1707,66.9276,82.6885,60.9819,87.1666,196.929,101.297,100.35,137.476,15.0366,110.407,251.06,26.0102,172.418,199.029,47.9474,107.815,71.3105,150.768,65.1855,75.182,123.846,201.222,
51.8367,152.517,167.335,19.9172,175.297,24.4193,210.468,62.2033,66.9164,82.8355,60.877,87.1752,196.869,101.301,100.312,137.469,15.2034,110.5,251.076,26.0686,172.114,199.262,47.9124,108.153,71.452,151.115,64.8768,75.3261,123.977,201.577,
51.7261,152.583,167.429,20.084,175.435,24.5585,210.416,62.235,66.9028,82.9804,60.776,87.1804,196.811,101.306,100.275,137.462,15.3727,110.595,251.091,26.1261,171.813,199.493,47.882,108.498,71.5928,151.461,64.5782,75.4709,124.108,201.932,
51.618,152.646,167.521,20.2494,175.567,24.6918,210.365,62.267,66.8861,83.1287,60.6779,87.1824,196.752,101.31,100.238,137.455,15.5465,110.693,251.107,26.1851,171.51,199.726,47.8569,108.836,71.7354,151.812,64.2854,75.6185,124.237,202.282,
51.5064,152.709,167.614,20.4162,175.704,24.8297,210.314,62.2984,66.867,83.2733,60.5818,87.1811,196.694,101.315,100.199,137.448,15.7133,110.786,251.123,26.2431,171.206,199.959,47.841,108.997,71.8778,152.163,63.9856,75.7754,124.368,202.637,
51.3951,152.77,167.71,20.5886,175.84,24.966,210.266,62.3286,66.8522,83.4127,60.4833,87.1808,196.633,101.319,100.161,137.441,15.8793,110.879,251.139,26.2995,170.908,200.188,47.8095,109.166,72.0228,152.518,63.8362,75.8485,124.498,202.991,
51.2867,152.828,167.805,20.7591,175.979,25.1057,210.215,62.3598,66.8372,83.5532,60.3864,87.1791,196.574,101.324,100.122,137.434,16.048,110.973,251.155,26.3586,170.614,200.416,47.7352,109.494,72.1654,152.869,63.6785,75.9094,124.627,203.341,
51.1781,152.884,167.897,20.924,176.117,25.2433,210.166,62.3906,66.8212,83.6894,60.2937,87.1754,196.514,101.328,100.083,137.428,16.2202,111.069,251.17,26.4159,170.314,200.647,47.6668,109.829,72.3095,153.225,63.3512,76.0211,124.759,203.699,
51.0715,152.937,167.991,21.0908,176.206,25.3326,210.115,62.4218,66.8027,83.8254,60.201,87.1687,196.453,101.333,100.044,137.421,16.391,111.165,251.186,26.4715,170.023,200.871,47.6038,110.161,72.4501,153.573,63.0275,76.1389,124.892,204.06,
50.966,152.989,168.085,21.2588,176.295,25.4233,210.064,62.4533,66.7863,83.9554,60.1177,87.1633,196.391,101.338,100.005,137.414,16.5585,111.258,251.201,26.5284,169.719,201.106,47.5461,110.495,72.593,153.93,62.7128,76.2582,125.024,204.419,
50.8624,153.038,168.18,21.4284,176.386,25.5168,210.013,62.4854,66.771,84.0821,60.041,87.1591,196.331,101.342,99.9662,137.408,16.728,111.353,251.217,26.5866,169.455,201.313,47.4922,110.833,72.7329,154.279,62.3905,76.3854,125.153,204.77,
50.7558,153.088,168.274,21.5972,176.472,25.6068,209.96,62.518,66.7541,84.2013,59.968,87.1524,196.272,101.346,99.9253,137.401,16.8984,111.448,251.233,26.6445,169.193,201.525,47.4425,111.179,72.8748,154.636,62.0801,76.5138,125.286,205.128,
50.6513,153.135,168.366,21.762,176.561,25.7012,209.908,62.5502,66.7385,84.3193,59.9004,87.1478,196.213,101.351,99.886,137.395,17.0643,111.54,251.249,26.7021,168.896,201.769,47.3979,111.523,73.0036,154.954,61.7699,76.6488,125.418,205.482,
50.5493,153.18,168.46,21.9298,176.649,25.796,209.857,62.5816,66.725,84.4325,59.8409,87.1471,196.154,101.355,99.8462,137.388,17.2298,111.633,251.264,26.7574,168.606,202.007,47.3579,111.87,73.1341,155.262,61.4573,76.7905,125.55,205.842,
50.4451,153.225,168.555,22.0996,176.735,25.8893,209.806,62.6133,66.7164,84.5306,59.7969,87.1538,196.096,101.359,99.8055,137.382,17.3972,111.728,251.28,26.8166,168.313,202.247,47.324,112.209,73.2822,155.604,61.146,76.9364,125.683,206.202,
50.3441,153.268,168.649,22.2657,176.821,25.9835,209.755,62.6449,66.7106,84.6125,59.7645,87.1642,196.035,101.364,99.7659,137.376,17.5615,111.82,251.296,26.8745,168.017,202.489,47.295,112.555,73.4307,155.947,60.8395,77.0851,125.815,206.56,
50.2444,153.309,168.743,22.433,176.903,26.0758,209.705,62.676,66.7114,84.6788,59.7492,87.1864,195.977,101.368,99.7251,137.37,17.7265,111.914,251.312,26.9343,167.727,202.728,47.2766,112.719,73.5808,156.294,60.5368,77.2364,125.947,206.92,
50.1435,153.35,168.838,22.6009,176.988,26.171,209.655,62.7065,66.7153,84.7285,59.7453,87.2142,195.917,101.373,99.6855,137.364,17.8904,112.007,251.328,26.9921,167.43,202.972,47.2427,112.889,73.7323,156.645,60.2429,77.3877,126.078,207.276,
50.0419,153.391,168.933,22.7709,177.072,26.2674,209.602,62.7394,66.7212,84.7672,59.7493,87.2474,195.86,101.377,99.6435,137.358,18.0619,112.104,251.343,27.0488,167.134,203.216,47.1634,113.218,73.8818,156.991,59.9386,77.5499,126.211,207.636,
49.9447,153.429,169.026,22.9352,177.156,26.3663,209.551,62.7711,66.7273,84.7957,59.7572,87.2812,195.799,101.381,99.6005,137.351,18.228,112.198,251.359,27.1076,166.851,203.449,47.0895,113.558,74.0348,157.343,59.6413,77.7148,126.344,207.995,
49.8448,153.467,169.124,23.1082,177.238,26.4643,209.501,62.8019,66.7348,84.8133,59.7723,87.32,195.738,101.386,99.5586,137.346,18.3963,112.294,251.375,27.1647,166.557,203.691,47.0218,113.893,74.1859,157.69,59.3471,77.8846,126.472,208.342,
